@relation mxmh_survey_results1-weka.filters.unsupervised.attribute.NumericCleaner-min50.0-min-default50.0-max220.0-max-default220.0-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals-1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.attribute.NominalToBinary

@attribute Age numeric
@attribute 'Primary streaming service=Spotify' numeric
@attribute 'Primary streaming service=Pandora' numeric
@attribute 'Primary streaming service=YouTube Music' numeric
@attribute 'Primary streaming service=I do not use a streaming service.' numeric
@attribute 'Primary streaming service=Apple Music' numeric
@attribute 'Primary streaming service=Other streaming service' numeric
@attribute 'Hours per day' numeric
@attribute 'While working=No' numeric
@attribute Instrumentalist=No numeric
@attribute Composer=No numeric
@attribute 'Fav genre=Latin' numeric
@attribute 'Fav genre=Rock' numeric
@attribute 'Fav genre=Video game music' numeric
@attribute 'Fav genre=Jazz' numeric
@attribute 'Fav genre=R&B' numeric
@attribute 'Fav genre=K pop' numeric
@attribute 'Fav genre=Country' numeric
@attribute 'Fav genre=EDM' numeric
@attribute 'Fav genre=Hip hop' numeric
@attribute 'Fav genre=Pop' numeric
@attribute 'Fav genre=Rap' numeric
@attribute 'Fav genre=Classical' numeric
@attribute 'Fav genre=Metal' numeric
@attribute 'Fav genre=Folk' numeric
@attribute 'Fav genre=Lofi' numeric
@attribute 'Fav genre=Gospel' numeric
@attribute Exploratory=No numeric
@attribute 'Foreign languages=No' numeric
@attribute BPM numeric
@attribute Anxiety numeric
@attribute Depression numeric
@attribute Insomnia numeric
@attribute OCD numeric
@attribute 'Music effects' {'No effect',Improve,Worsen}

@data
41,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,130,10,7,8,0,Improve
36,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,127,7,3,1,1,Improve
19,0,0,1,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,160,8,7,4,0,Improve
31,1,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.376789,10,2,0,5,'No effect'
16,1,0,0,0,0,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,123.376789,9,8,1,2,Improve
26,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,165,6,3,1,1,Improve
22,0,0,0,0,1,0,0.5,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,113,7,7,0,1,'No effect'
16,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,7,7,8,4,Improve
17,1,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,95,4,1,0,0,Improve
19,1,0,0,0,0,0,10,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110,7,2,1,5,Improve
18,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,150,9,0,5,10,Improve
18,0,0,1,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93,2,7,1,1,Improve
19,1,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,10,8,7,0,Improve
19,1,0,0,0,0,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,118,3,0,0,0,Improve
22,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,126,7,8,5,1,'No effect'
16,1,0,0,0,0,0,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,2,1,0,0,Improve
19,1,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,77,5,4,0,1,Improve
37,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,115,9,10,6,10,'No effect'
14,1,0,0,0,0,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,110,2,0,0,0,Improve
33,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,123.376789,5,2,5,1,Improve
26,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,113,3,2,0,0,'No effect'
32,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,157,2,0,7,0,'No effect'
30,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,160,7,6,6,2,'No effect'
43,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,5,4,8,3,'No effect'
